tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
Trixy-Sgk-Prog-P0P10-220413,D3-1-P0,666,332,0,453,118.0,0.6801801801801802,1,788.0,249.0,0.0013073847,1.18,1,11.0,777.0,9.0,240.0,16,184,1.0,156.0,0.0,1.0,0.0,588.0,24.0,4.0,3.0,0.0,9.0,2.0,1.0,81.0,0.0,1.0,0.0,135.0,20.0,3.0,3.0,0.0,4.0,1.0
Trixy-Sgk-Prog-P0P10-220413,D3-1-P10,303,273,0,343,142.0,1.132013201320132,1,714.0,279.0,0.0026037963,2.36,2,4.0,710.0,4.0,275.0,31,252,0.0,157.0,0.0,0.0,0.0,500.0,34.0,1.0,2.0,1.0,19.0,0.0,0.0,87.0,0.0,0.0,0.0,155.0,22.0,1.0,2.0,1.0,11.0,0.0
Trixy-Sgk-Prog-P0P10-220413,D3-2-P0,547,293,0,361,105.0,0.659963436928702,1,654.0,209.0,0.0013211187,1.2,1,8.0,646.0,7.0,202.0,24,162,0.0,106.0,0.0,0.0,1.0,501.0,23.0,4.0,1.0,0.0,16.0,2.0,0.0,57.0,0.0,0.0,1.0,119.0,17.0,4.0,1.0,0.0,9.0,1.0
Trixy-Sgk-Prog-P0P10-220413,D3-2-P10,517,432,0,580,167.0,1.1218568665377175,1,1213.0,344.0,0.0025925174,2.35,2,9.0,1204.0,9.0,335.0,57,370,1.0,266.0,1.0,1.0,0.0,877.0,49.0,0.0,1.0,2.0,12.0,3.0,1.0,123.0,1.0,1.0,0.0,182.0,23.0,0.0,1.0,2.0,7.0,3.0
Trixy-Sgk-Prog-P0P10-220413,GR562-ctrl,722,20,0,16,6.0,0.0221606648199446,0,35.0,11.0,5.35651e-05,0.05,0,4.0,31.0,4.0,7.0,3,7,0.0,6.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,3.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0
Trixy-Sgk-Prog-P0P10-220413,trx-1-P0,480,449,0,1372,225.0,2.8583333333333334,3,2489.0,417.0,0.0057297422,5.19,5,45.0,2444.0,13.0,404.0,138,132,0.0,605.0,1.0,1.0,0.0,1668.0,130.0,3.0,37.0,0.0,41.0,3.0,0.0,137.0,1.0,1.0,0.0,193.0,57.0,3.0,6.0,0.0,17.0,2.0
Trixy-Sgk-Prog-P0P10-220413,trx-1-P10,481,479,0,1622,347.0,3.372141372141372,3,3361.0,614.0,0.0077210232,6.99,7,60.0,3301.0,34.0,580.0,258,303,6.0,908.0,1.0,6.0,0.0,2051.0,272.0,0.0,35.0,6.0,70.0,6.0,3.0,212.0,1.0,5.0,0.0,256.0,83.0,0.0,17.0,4.0,29.0,4.0
Trixy-Sgk-Prog-P0P10-220413,trx-2-P0,400,377,0,1129,216.0,2.8225,3,2048.0,405.0,0.0056574586,5.12,5,28.0,2020.0,12.0,393.0,171,101,1.0,514.0,0.0,2.0,1.0,1401.0,84.0,2.0,21.0,1.0,21.0,0.0,1.0,144.0,0.0,2.0,1.0,194.0,44.0,2.0,5.0,1.0,11.0,0.0
Trixy-Sgk-Prog-P0P10-220413,trx-2-P10,342,342,0,1162,307.0,3.3976608187134505,3,2397.0,561.0,0.0077444994,7.01,7,33.0,2364.0,23.0,538.0,169,191,4.0,650.0,1.0,5.0,0.0,1476.0,197.0,0.0,21.0,1.0,41.0,1.0,4.0,192.0,1.0,4.0,0.0,256.0,67.0,0.0,12.0,1.0,23.0,1.0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-1-P0,403,390,0,1289,368.0,3.198511166253102,3,1844.0,552.0,0.0050560026,4.58,4,212.0,1632.0,145.0,407.0,271,126,38.0,177.0,3.0,82.0,5.0,375.0,828.0,11.0,23.0,41.0,252.0,9.0,25.0,89.0,3.0,52.0,4.0,132.0,136.0,10.0,17.0,25.0,50.0,9.0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-1-P10,279,279,0,2060,552.0,7.383512544802867,7,2891.0,841.0,0.0114497317,10.36,10,374.0,2517.0,217.0,624.0,714,154,61.0,356.0,1.0,166.0,11.0,591.0,1240.0,20.0,37.0,67.0,330.0,11.0,36.0,187.0,1.0,90.0,8.0,214.0,151.0,18.0,27.0,28.0,72.0,9.0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-2-P0,322,317,0,1044,317.0,3.2422360248447206,3,1480.0,493.0,0.005078755,4.6,4,158.0,1322.0,112.0,381.0,217,83,29.0,132.0,1.0,61.0,3.0,297.0,671.0,10.0,9.0,40.0,222.0,5.0,21.0,86.0,1.0,43.0,3.0,120.0,129.0,8.0,9.0,22.0,46.0,5.0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-2-P10,266,266,0,1889,529.0,7.101503759398496,7,2661.0,822.0,0.0110538778,10.0,10,368.0,2293.0,209.0,613.0,760,141,55.0,358.0,3.0,158.0,9.0,501.0,1120.0,31.0,31.0,71.0,314.0,10.0,39.0,184.0,3.0,81.0,9.0,206.0,151.0,20.0,21.0,28.0,72.0,8.0
Trixy-Sgk-Prog-P0P10-220422,611-1-P0,725,317,0,470,103.0,0.6482758620689655,1,2130.0,222.0,0.0032463326,2.94,3,19.0,2111.0,11.0,211.0,42,142,0.0,445.0,5.0,7.0,0.0,1645.0,12.0,5.0,0.0,0.0,9.0,2.0,0.0,70.0,2.0,2.0,0.0,127.0,8.0,5.0,0.0,0.0,6.0,2.0
Trixy-Sgk-Prog-P0P10-220422,611-1-P10,638,482,0,813,142.0,1.274294670846395,1,2728.0,296.0,0.0047247095,4.28,4,22.0,2706.0,8.0,288.0,77,198,0.0,677.0,6.0,10.0,0.0,2004.0,18.0,1.0,4.0,0.0,7.0,1.0,0.0,110.0,1.0,1.0,0.0,162.0,12.0,1.0,4.0,0.0,4.0,1.0
Trixy-Sgk-Prog-P0P10-220422,611-2-P0,963,372,0,621,101.0,0.6448598130841121,1,2795.0,228.0,0.003207059,2.9,3,10.0,2785.0,6.0,222.0,53,158,0.0,602.0,3.0,4.0,0.0,2151.0,20.0,2.0,0.0,1.0,12.0,0.0,0.0,75.0,2.0,1.0,0.0,127.0,15.0,2.0,0.0,1.0,5.0,0.0
Trixy-Sgk-Prog-P0P10-220422,611-2-P10,605,438,0,790,157.0,1.3057851239669422,1,2604.0,319.0,0.0047559472,4.3,4,26.0,2578.0,8.0,311.0,58,248,1.0,654.0,5.0,16.0,0.0,1882.0,31.0,2.0,2.0,0.0,11.0,0.0,1.0,111.0,2.0,1.0,0.0,174.0,18.0,2.0,2.0,0.0,8.0,0.0
Trixy-Sgk-Prog-P0P10-220422,611-3-P0,364,170,0,238,60.0,0.6538461538461539,1,1093.0,134.0,0.0033179528,3.0,3,5.0,1088.0,4.0,130.0,24,50,0.0,223.0,4.0,0.0,0.0,860.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,37.0,3.0,0.0,0.0,88.0,3.0,0.0,0.0,1.0,2.0,0.0
Trixy-Sgk-Prog-P0P10-220422,611-3-P10,342,259,0,432,113.0,1.263157894736842,1,1421.0,228.0,0.0045911279,4.15,4,13.0,1408.0,5.0,223.0,38,149,0.0,342.0,3.0,7.0,0.0,1037.0,21.0,0.0,2.0,0.0,8.0,1.0,0.0,65.0,1.0,1.0,0.0,139.0,14.0,0.0,2.0,0.0,5.0,1.0
Trixy-Sgk-Prog-P0P10-220422,D3-3-P0,568,267,0,368,97.0,0.647887323943662,1,611.0,205.0,0.0011886235,1.08,1,4.0,607.0,3.0,202.0,10,149,0.0,138.0,0.0,2.0,0.0,437.0,28.0,0.0,0.0,0.0,4.0,2.0,0.0,74.0,0.0,2.0,0.0,111.0,13.0,0.0,0.0,0.0,4.0,1.0
Trixy-Sgk-Prog-P0P10-220422,D3-3-P10,362,305,0,419,162.0,1.1574585635359116,1,806.0,317.0,0.0024602424,2.23,2,14.0,792.0,13.0,304.0,26,253,0.0,172.0,0.0,3.0,0.0,553.0,51.0,2.0,7.0,0.0,16.0,2.0,0.0,100.0,0.0,3.0,0.0,165.0,27.0,2.0,7.0,0.0,12.0,1.0
Trixy-Sgk-Prog-P0P10-220422,GR562-ctrl,1431,32,0,16,13.0,0.0111809923130677,0,26.0,21.0,2.00764e-05,0.02,0,12.0,14.0,12.0,9.0,1,16,0.0,3.0,0.0,0.0,0.0,4.0,3.0,8.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,4.0,2.0,0.0
Trixy-Sgk-Prog-P0P10-220422,Sgk-1-P0,561,349,0,369,195.0,0.6577540106951871,0,765.0,328.0,0.0015067805,1.36,1,46.0,719.0,40.0,288.0,242,76,5.0,299.0,1.0,10.0,3.0,175.0,207.0,4.0,16.0,5.0,38.0,2.0,5.0,81.0,1.0,6.0,2.0,111.0,73.0,4.0,15.0,5.0,23.0,2.0
Trixy-Sgk-Prog-P0P10-220422,Sgk-1-P10,598,568,0,1017,355.0,1.7006688963210703,2,1966.0,576.0,0.0036327353,3.29,3,132.0,1834.0,84.0,492.0,868,217,10.0,698.0,2.0,41.0,2.0,494.0,547.0,3.0,51.0,16.0,95.0,7.0,10.0,135.0,2.0,26.0,2.0,205.0,116.0,3.0,23.0,11.0,36.0,7.0
Trixy-Sgk-Prog-P0P10-220422,Sgk-2-P0,876,566,0,664,279.0,0.7579908675799086,1,1368.0,455.0,0.0017255733,1.56,1,73.0,1295.0,63.0,392.0,452,199,8.0,526.0,1.0,25.0,3.0,304.0,392.0,6.0,16.0,9.0,73.0,5.0,7.0,116.0,1.0,17.0,2.0,149.0,91.0,6.0,16.0,9.0,36.0,5.0
Trixy-Sgk-Prog-P0P10-220422,Sgk-2-P10,1075,990,0,1894,440.0,1.761860465116279,2,3624.0,743.0,0.0037250418,3.37,3,232.0,3392.0,126.0,617.0,1426,324,54.0,1248.0,1.0,82.0,5.0,1045.0,971.0,28.0,39.0,19.0,128.0,4.0,21.0,191.0,1.0,45.0,5.0,249.0,129.0,9.0,29.0,13.0,48.0,3.0
Trixy-Sgk-Prog-P0P10-220422,WT-1-P0,449,10,0,0,0.0,0.0,0,7.0,3.0,1.72267e-05,0.02,0,0.0,7.0,0.0,3.0,3,3,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Trixy-Sgk-Prog-P0P10-220422,WT-1-P10,712,18,0,8,7.0,0.0112359550561797,0,17.0,13.0,2.63828e-05,0.02,0,1.0,16.0,1.0,12.0,1,22,0.0,2.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0
Trixy-Sgk-Prog-P0P10-220422,WT-2-P0,568,10,0,2,2.0,0.0035211267605633,0,7.0,4.0,1.36176e-05,0.01,0,1.0,6.0,1.0,3.0,1,8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Trixy-Sgk-Prog-P0P10-220422,WT-2-P10,670,16,0,9,6.0,0.0134328358208955,0,20.0,11.0,3.29843e-05,0.03,0,5.0,15.0,5.0,6.0,0,6,0.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,0.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk1-1-P0,1155,850,0,1173,312.0,1.0155844155844156,1,2154.0,560.0,0.0020607017,1.86,2,26.0,2128.0,25.0,535.0,52,450,0.0,526.0,1.0,6.0,1.0,1279.0,286.0,3.0,10.0,3.0,37.0,2.0,0.0,178.0,1.0,6.0,1.0,255.0,81.0,3.0,9.0,3.0,21.0,2.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk1-1-P10,688,680,0,1697,352.0,2.4665697674418605,2,3244.0,628.0,0.0052100732,4.72,5,50.0,3194.0,33.0,595.0,178,388,6.0,787.0,2.0,5.0,1.0,1928.0,430.0,2.0,27.0,0.0,49.0,7.0,2.0,210.0,2.0,4.0,1.0,267.0,90.0,2.0,19.0,0.0,28.0,3.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk1-2-P0,1622,1106,0,1477,324.0,0.9106041923551172,1,2778.0,605.0,0.0018924866,1.71,1,39.0,2739.0,34.0,571.0,87,539,2.0,698.0,6.0,8.0,1.0,1667.0,339.0,2.0,14.0,5.0,35.0,1.0,2.0,204.0,4.0,7.0,1.0,268.0,81.0,2.0,12.0,5.0,18.0,1.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk1-2-P10,713,698,0,1534,337.0,2.1514726507713884,2,3219.0,611.0,0.0049886481,4.51,4,34.0,3185.0,29.0,582.0,136,504,5.0,1074.0,1.0,7.0,0.0,1725.0,340.0,2.0,15.0,1.0,46.0,3.0,2.0,211.0,1.0,7.0,0.0,269.0,81.0,2.0,14.0,1.0,21.0,2.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-1-P0,1584,1545,0,5261,766.0,3.321338383838384,3,6663.0,1181.0,0.0046479993,4.21,4,1357.0,5306.0,438.0,743.0,1036,714,172.0,886.0,20.0,701.0,39.0,893.0,2849.0,140.0,64.0,181.0,678.0,40.0,93.0,218.0,18.0,146.0,27.0,258.0,178.0,37.0,42.0,54.0,89.0,21.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-1-P10,1396,1292,0,10971,948.0,7.858882521489972,8,14282.0,1425.0,0.0113045956,10.23,10,2090.0,12192.0,580.0,845.0,3050,1185,270.0,1638.0,48.0,706.0,91.0,2400.0,6550.0,165.0,176.0,549.0,1604.0,85.0,103.0,268.0,30.0,180.0,48.0,291.0,184.0,55.0,77.0,53.0,102.0,34.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-2-P0,1413,1377,0,4652,737.0,3.292285916489738,3,5902.0,1116.0,0.0046153906,4.18,4,1085.0,4817.0,395.0,721.0,923,506,145.0,750.0,16.0,506.0,31.0,766.0,2634.0,99.0,63.0,180.0,667.0,45.0,85.0,218.0,13.0,123.0,26.0,243.0,173.0,39.0,40.0,52.0,87.0,17.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-2-P10,920,893,0,5647,712.0,6.13804347826087,6,8020.0,1122.0,0.0096324766,8.72,8,1320.0,6700.0,345.0,777.0,1727,718,387.0,989.0,17.0,418.0,38.0,1912.0,2909.0,52.0,178.0,207.0,890.0,23.0,64.0,244.0,12.0,108.0,24.0,276.0,170.0,29.0,52.0,40.0,87.0,16.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk123-3-P0,363,360,0,1179,347.0,3.2479338842975207,3,1670.0,521.0,0.0050834817,4.6,4,203.0,1467.0,144.0,377.0,239,98,34.0,143.0,2.0,83.0,9.0,334.0,755.0,12.0,25.0,34.0,235.0,4.0,30.0,88.0,2.0,53.0,5.0,113.0,129.0,9.0,19.0,22.0,47.0,4.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk123-3-P10,2183,2166,0,16585,1028.0,7.597343105817682,7,23262.0,1551.0,0.0117745613,10.66,11,3158.0,20104.0,684.0,867.0,5351,2197,459.0,2808.0,52.0,1422.0,251.0,4742.0,9762.0,134.0,332.0,432.0,2792.0,76.0,138.0,280.0,40.0,197.0,61.0,299.0,186.0,58.0,94.0,63.0,102.0,33.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-1-P0,1253,787,0,960,269.0,0.7661612130885874,1,1679.0,508.0,0.0014806453,1.34,1,21.0,1658.0,20.0,488.0,54,468,1.0,544.0,0.0,9.0,0.0,891.0,191.0,4.0,5.0,0.0,32.0,2.0,1.0,175.0,0.0,9.0,0.0,232.0,64.0,3.0,5.0,0.0,17.0,2.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-1-P10,873,850,0,1672,335.0,1.9152348224513172,2,3485.0,619.0,0.0044110295,3.99,4,46.0,3439.0,38.0,581.0,195,757,1.0,918.0,3.0,10.0,0.0,2167.0,294.0,6.0,19.0,4.0,60.0,3.0,1.0,218.0,2.0,10.0,0.0,272.0,77.0,4.0,15.0,3.0,14.0,3.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-2-P0,595,396,0,449,189.0,0.7546218487394958,1,773.0,357.0,0.0014355355,1.3,1,13.0,760.0,10.0,347.0,22,242,1.0,250.0,0.0,1.0,1.0,431.0,65.0,3.0,5.0,2.0,14.0,0.0,1.0,114.0,0.0,1.0,1.0,182.0,41.0,2.0,4.0,1.0,10.0,0.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-2-P10,501,486,0,1051,283.0,2.097804391217565,2,1989.0,527.0,0.0043868065,3.97,4,37.0,1952.0,26.0,501.0,121,2050,3.0,560.0,1.0,5.0,0.0,1174.0,190.0,4.0,18.0,1.0,28.0,5.0,2.0,182.0,1.0,5.0,0.0,242.0,64.0,1.0,13.0,1.0,13.0,3.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk2-1-P0,1087,1080,0,4201,748.0,3.864765409383625,4,5672.0,1155.0,0.0057657804,5.22,5,1086.0,4586.0,443.0,712.0,704,1119,166.0,895.0,20.0,315.0,39.0,1073.0,1958.0,70.0,73.0,384.0,660.0,19.0,92.0,211.0,12.0,134.0,34.0,237.0,169.0,42.0,47.0,66.0,95.0,16.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk2-1-P10,708,708,0,7935,881.0,11.207627118644067,11,10811.0,1330.0,0.0168726785,15.27,15,1723.0,9088.0,524.0,806.0,1788,1411,267.0,1292.0,40.0,747.0,60.0,1985.0,4603.0,78.0,141.0,354.0,1208.0,36.0,104.0,252.0,24.0,180.0,42.0,280.0,180.0,37.0,63.0,51.0,94.0,23.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk2-3-P0,1355,1343,0,5283,820.0,3.898892988929889,4,7150.0,1248.0,0.005830666,5.28,5,1336.0,5814.0,501.0,747.0,934,1505,254.0,1141.0,29.0,398.0,34.0,1367.0,2441.0,87.0,92.0,415.0,865.0,27.0,107.0,220.0,20.0,156.0,29.0,254.0,176.0,47.0,64.0,58.0,97.0,20.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk2-3-P10,1365,1362,0,13613,1101.0,9.972893772893771,10,19112.0,1611.0,0.0154712323,14.0,14,3398.0,15714.0,747.0,864.0,3557,1879,563.0,2564.0,63.0,1145.0,127.0,3508.0,7321.0,356.0,242.0,819.0,2321.0,83.0,148.0,277.0,36.0,207.0,69.0,297.0,185.0,76.0,99.0,72.0,105.0,40.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-1-P0,606,598,0,2153,532.0,3.552805280528053,3,3023.0,836.0,0.0055120982,4.99,5,400.0,2623.0,256.0,580.0,396,214,54.0,372.0,9.0,159.0,18.0,659.0,1217.0,25.0,49.0,70.0,375.0,16.0,42.0,156.0,7.0,102.0,16.0,190.0,158.0,18.0,21.0,39.0,76.0,11.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-1-P10,2330,2319,0,18382,1092.0,7.8892703862660944,8,25996.0,1608.0,0.0123282669,11.16,11,4160.0,21836.0,733.0,875.0,4983,2495,651.0,3942.0,105.0,1387.0,222.0,4853.0,10200.0,410.0,562.0,645.0,2841.0,178.0,152.0,282.0,36.0,207.0,82.0,303.0,188.0,69.0,87.0,64.0,102.0,36.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-2-P0,281,277,0,955,325.0,3.398576512455516,3,1321.0,490.0,0.0051945499,4.7,5,166.0,1155.0,118.0,372.0,183,154,16.0,168.0,4.0,68.0,6.0,293.0,537.0,9.0,33.0,24.0,157.0,6.0,15.0,88.0,3.0,51.0,4.0,109.0,123.0,8.0,11.0,20.0,52.0,6.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-2-P10,1170,1165,0,9861,972.0,8.428205128205128,8,13591.0,1455.0,0.0128356236,11.62,12,2139.0,11452.0,603.0,852.0,2477,1895,404.0,1974.0,115.0,835.0,76.0,2607.0,5299.0,143.0,189.0,311.0,1572.0,66.0,131.0,276.0,35.0,192.0,41.0,295.0,181.0,60.0,68.0,49.0,100.0,27.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk3-1-P0,473,374,0,572,206.0,1.2093023255813953,1,1039.0,364.0,0.0024272015,2.2,2,145.0,894.0,9.0,355.0,94,148,2.0,283.0,0.0,1.0,0.0,475.0,118.0,1.0,3.0,138.0,18.0,0.0,2.0,112.0,0.0,1.0,0.0,177.0,53.0,1.0,2.0,3.0,13.0,0.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk3-1-P10,474,470,0,1109,308.0,2.339662447257384,2,2244.0,559.0,0.005231135,4.73,5,154.0,2090.0,30.0,529.0,133,266,4.0,643.0,1.0,3.0,1.0,1163.0,246.0,2.0,17.0,122.0,38.0,4.0,4.0,190.0,1.0,3.0,1.0,249.0,72.0,2.0,13.0,3.0,18.0,3.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk3-2-P0,768,568,0,877,238.0,1.1419270833333333,1,1742.0,444.0,0.0025063306,2.27,2,213.0,1529.0,20.0,424.0,103,228,2.0,574.0,1.0,5.0,0.0,738.0,197.0,3.0,5.0,197.0,20.0,0.0,2.0,156.0,1.0,5.0,0.0,197.0,55.0,3.0,5.0,4.0,16.0,0.0
Trixy-Sgk-Prog-P0P10-220422,trxSgk3-2-P10,697,688,0,1697,358.0,2.4347202295552366,2,3322.0,642.0,0.0052664537,4.77,5,240.0,3082.0,40.0,602.0,201,396,6.0,1043.0,2.0,9.0,0.0,1648.0,332.0,0.0,30.0,185.0,59.0,8.0,4.0,234.0,2.0,7.0,0.0,268.0,79.0,0.0,19.0,3.0,21.0,5.0
