sample_label,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G,all,deletion,insertion
I777K-L900S,,1.944561847988247e-06,4.63801428600005e-08,1.095233917981233e-07,,3.081429591986095e-07,4.2237887450649054e-07,,6.260749264251826e-08,1.5353726173447756e-08,6.44253045356678e-06,,9.382295650074912e-06,3.566894199075623e-06,8.188790747152788e-07
TKS,,2.7861813427932946e-06,,1.1434136900249603e-07,1.2039296581362506e-07,1.3241057863995945e-06,1.2594328711914672e-06,2.0206700661754917e-07,1.6475623998900037e-07,2.378482282561651e-08,8.07897452580803e-06,1.0918937310812159e-08,1.3655238482979794e-05,4.821700355418715e-06,1.0648923022059376e-06
SgtKis,3.354770222798596e-08,3.9869090756587975e-06,1.4986214946723217e-07,3.4535978060680536e-07,2.6928523512721167e-07,3.435205233533697e-06,9.816478985670936e-06,7.555329539749315e-07,1.7237285706170946e-07,6.895930563214916e-07,6.486815043688874e-06,2.7636035450899383e-08,2.548963913608041e-05,1.517315307520126e-06,1.2638306204070991e-05
Trixy,4.8981370925523724e-08,9.06764038434116e-06,3.724338497110562e-08,2.309327934232681e-07,,3.6183596593991154e-06,7.666545926440106e-06,1.4526540599282992e-06,,3.009464692268233e-07,1.6986723203563065e-05,1.1928169249188213e-08,3.74777976649079e-05,1.9725410388681463e-06,2.5872408736596107e-06
BadBoy1,2.1131884871166257e-07,9.695993448074406e-06,1.9758330733205213e-06,7.912569352756683e-06,7.012869587451149e-07,3.100819952761656e-05,5.519609766285285e-05,1.6951130962666995e-06,4.956937242975553e-07,6.716723449541636e-06,1.5191266933436517e-05,5.969868517510096e-07,0.00013540886047907932,2.644767671713796e-06,2.2845569728304314e-05
BadBoy2,1.7505471133790657e-07,1.1178834944052689e-05,3.1407754404320066e-06,8.477968618653152e-06,1.3366999201755274e-06,3.135523411322301e-05,6.093074358623233e-05,1.997014314905231e-06,3.403915947342191e-07,6.679474920787723e-06,1.5878529670853276e-05,2.697586711427347e-07,0.0001397374385277748,3.200517121917597e-06,3.36033937932595e-05
BadBoy3,1.1222934704423597e-07,8.69302442322512e-06,7.937985668205498e-07,7.666811940350338e-06,9.868391281633976e-07,2.0720480773455672e-05,4.4114964514371086e-05,2.4431205562766617e-06,7.123444468063059e-07,3.78639423695341e-06,1.2434356261090903e-05,5.719366816352852e-07,0.00010448769384835204,2.8937210074876805e-06,2.862055477337346e-05
3A,4.009506547749276e-08,9.946671842899874e-06,1.3645204116641445e-07,1.3890207981911128e-07,2.4972623747045873e-07,2.144288130374113e-06,7.705141460853754e-06,8.195082730006382e-07,,1.8806524115229323e-07,1.6951968711999045e-05,1.13145230159052e-08,3.857074389847805e-05,1.5264285602801627e-06,5.18377763746707e-06
3B,,7.374965601993265e-07,4.0237981882704065e-07,5.5663405277068606e-06,6.619172735722025e-08,5.972239984257967e-06,8.385023433285132e-06,1.0512228523850244e-06,4.862588515167408e-07,8.523345080454449e-07,1.1482713089440785e-06,1.9617984502529057e-07,2.7869141532704793e-05,2.9222323503616903e-06,5.192361647780765e-05
3C,3.2592093699805014e-08,7.402046156056758e-07,1.6063917250241773e-07,2.7526638572240415e-06,3.034710903525371e-07,4.421846424649855e-06,5.730659236238857e-06,7.300206720156154e-07,3.7884424187396124e-07,1.5979053865960916e-06,1.3085275288180726e-06,5.31106399268317e-07,1.8429595499782673e-05,2.0628271247194237e-06,2.8581836566794004e-05
3D,2.3732056214436285e-08,1.572082395028666e-05,1.4279109723899573e-07,7.436138726653894e-07,3.6758576577781195e-07,6.0894721686776566e-06,2.0759139263491996e-05,1.151825586732373e-06,6.40204696682887e-08,2.8058705001708703e-07,2.868093046805367e-05,2.8209825377368914e-08,7.297507095262864e-05,2.9453611678213188e-06,6.904575807804485e-06
3E,1.9395276631907944e-08,1.4822126442272513e-05,6.27275612952893e-08,3.219381098568833e-07,3.8012951565038937e-07,4.914018752153566e-06,1.9528639104515153e-05,8.384309976467509e-07,8.199935699986777e-08,4.7485897601893986e-07,2.5191540865589705e-05,9.497083402232754e-08,6.587345255862053e-05,2.7386836141762157e-06,5.098995858425804e-06
BB-3A,3.10642303555651e-08,6.5062867148877555e-06,1.9415230038035243e-06,7.333546404026787e-07,1.0529273140457407e-06,1.996085334282461e-05,3.5376093070202344e-05,2.5375365951295094e-06,,5.600904266423816e-06,1.124324950081572e-05,6.50287991249331e-07,9.076173424972154e-05,8.127985602344792e-07,4.4750981242669586e-05
BB-3B,,5.144754077317011e-07,4.342553079633727e-07,1.4631703162500288e-06,1.386958310282531e-07,3.9570616136467945e-06,4.186927210027936e-06,4.853726512786006e-07,1.5512483522035196e-07,8.257827356600605e-07,5.320265368651879e-07,8.111289225246277e-08,1.3185643888814215e-05,9.49214142639738e-08,2.2686962147511314e-05
BB-Tv,6.574142498776831e-08,1.5602850276979434e-06,8.141823966148009e-07,3.61882708870203e-06,1.561234223483597e-07,9.555337136930947e-07,4.365732921041726e-06,6.17788230161575e-07,3.169370003767407e-07,1.2498973518628948e-06,2.585510762706888e-06,3.5268566763176855e-07,1.619483381781227e-05,1.3691135096544875e-06,2.3812026213323777e-05
BB-5k,1.711646378163263e-07,1.0133346181786392e-05,1.5339839816586457e-06,6.864896088244153e-06,7.324836990121403e-07,2.430734292625507e-05,7.599194908849093e-05,1.0896141720745693e-06,1.1611436579684143e-06,9.105440470996365e-06,2.0394357646624672e-05,1.7739543792011855e-07,0.00017401979735441495,2.811159098754419e-07,2.6464494211515478e-05
BB-3E,,6.9144887702310996e-06,1.4668033785449902e-06,1.5308512446718646e-06,4.2574169815697534e-07,1.6450402867103884e-05,4.24242288412526e-05,5.927891047125747e-07,1.3031304436743365e-06,1.2805167687344431e-06,8.814245165906432e-06,3.7960278143645947e-07,8.694890316156635e-05,5.646490297552988e-07,3.152173688508428e-05
